drug_name,condition
ISAVUCONAZONIUM SULFATE,aspergillosis
PREDNISONE,autoimmune thrombocytopenic purpura
ISAVUCONAZONIUM SULFATE,mucormycosis
DEXAMETHASONE SODIUM PHOSPHATE,optic neuritis
PREDNISOLONE,meningeal tuberculosis
BRIMONIDINE TARTRATE,rosacea
CORTISONE ACETATE,seborrheic dermatitis
PREDNISONE,mycosis fungoides
CLINDAMYCIN PHOSPHATE,parametritis
PREDNISONE,subacute thyroiditis
PREDNISOLONE,subacute thyroiditis
CLINDAMYCIN PHOSPHATE,Lung Abscess
NEDOCROMIL,Nasal congestion
SPAGLUMIC ACID,Nasal congestion
RETINOL,Nasal congestion
CORTISONE ACETATE,Thrombocytopenia
PREDNISOLONE,Thrombocytopenia
BIOTIN,Iron deficiency anemia
DEXAMETHASONE,Aplastic anemia
CORTISONE ACETATE,Aplastic anemia
FLOCTAFENINE,Fever
MORPHOLINE SALICYLATE,Fever
ETHENZAMIDE,Fever
BENDAZAC,Arthralgia
FENOFIBRATE,Hypercholesterolemia
TOLPERISONE,Myalgia
ACETOXOLONE,Peptic ulcer
ENPROSTIL,Peptic ulcer
BAMBUTEROL,Airway obstruction
EPROZINOL,Airway obstruction
AMBUPHYLLINE,Airway obstruction
DIMEMORFAN,Cough
PANTOPRAZOLE SODIUM,Esophagitis
CRILANOMER,Skin ulcer
BATROXOBIN,hemorrhage
CLOFIBRIDE,cardiovascular disease
CANDESARTAN,cardiovascular disease
ALIPOGENE TIPARVOVEC,cardiovascular disease
CLOREXOLONE,cardiovascular disease
FUROSEMIDE,cardiovascular disease
MOXISYLYTE,cardiovascular disease
CHLORTHALIDONE,cardiovascular disease
ATENOLOL,cardiovascular disease
ISOSORBIDE DINITRATE,cardiovascular disease
EPINEPHRINE,cardiovascular disease
TENITRAMINE,cardiovascular disease
ESATENOLOL,cardiovascular disease
ACETYLDIGOXIN,cardiovascular disease
AMILORIDE HYDROCHLORIDE,congestive heart failure
LISINOPRIL,congestive heart failure
DEXAMETHASONE SODIUM PHOSPHATE,Crohn's disease
BUFORMIN,diabetes mellitus
EMPAGLIFLOZIN,diabetes mellitus
IPRATROPIUM BROMIDE,emphysema
UMECLIDINIUM BROMIDE,emphysema
GUANOXABENZ,hypertension
ECULIZUMAB,immune system disease
BASILIXIMAB,immune system disease
METHOTREXATE,immune system disease
ABETIMUS,immune system disease
VOCLOSPORIN,immune system disease
AMPHOTERICIN B,infection
CLAVULANATE POTASSIUM,infection
DEXAMETHASONE,lymphoma
PREDNISONE,lymphoma
LISINOPRIL,myocardial infarction
CLADRIBINE,neoplasm
PALBOCICLIB,neoplasm
FULVESTRANT,neoplasm
GESTONORONE,neoplasm
PIRARUBICIN,neoplasm
ENZALUTAMIDE,neoplasm
LONIDAMINE,neoplasm
TRETINOIN,neoplasm
VOROZOLE,neoplasm
ROMIDEPSIN,neoplasm
CARMOFUR,neoplasm
MELOXICAM,rheumatoid arthritis
BLEOMYCIN SULFATE,squamous cell carcinoma
FAMCICLOVIR,viral disease
SINECATECHINS,viral disease
NEVIRAPINE,HIV infection
CHLOROQUINE,malaria
BEXAROTENE,Cutaneous T-cell lymphoma
CEFTOLOZANE SULFATE,urinary tract infection
CLAVULANATE POTASSIUM,urinary tract infection
STREPTOMYCIN SULFATE,pneumonia
CAPTOPRIL,diabetic retinopathy
PENTAZOCINE,pain
BUTORPHANOL,pain
PROPENTOFYLLINE,attention deficit hyperactivity disorder
MOTRETINIDE,acne
DEXRABEPRAZOLE,gastroesophageal reflux disease
ENPROSTIL,gastroesophageal reflux disease
PROGLUMIDE,gastroesophageal reflux disease
ZOLIMIDINE,gastroesophageal reflux disease
TRAVOPROST,open-angle glaucoma
BUNAFTINE,cardiac arrhythmia
APRINDINE,cardiac arrhythmia
METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,anemia (phenotype)
PREDNISOLONE,gout
CLAVULANATE POTASSIUM,Otitis media
AMOXICILLIN,Otitis media
AMPHOTERICIN B,visceral Leishmaniasis
ETIZOLAM,anxiety
CLORAZEPATE MONOPOTASSIUM,anxiety
TOFISOPAM,anxiety
PIPAMPERONE,psychosis
PERAZINE,psychosis
BUTAPERAZINE,psychosis
MELPERONE,psychosis
SPAGLUMIC ACID,eye allergy
GLUCOSAMINE,rheumatic disease
ALMINOPROFEN,rheumatic disease
PREDNISOLONE,allergic conjunctivitis
DEXAMETHASONE,allergic conjunctivitis
PREDNISONE,optic neuritis
DEXAMETHASONE,optic neuritis
STREPTOMYCIN SULFATE,septicemic plague
BUTENAFINE HYDROCHLORIDE,tinea
PYRAZINAMIDE,pulmonary tuberculosis
PREDNISONE,pulmonary tuberculosis
PREDNISOLONE,pulmonary tuberculosis
DEXAMETHASONE,pulmonary tuberculosis
PREDNISONE,dermatitis herpetiformis
PREDNISONE,seborrheic dermatitis
MOXIFLOXACIN HYDROCHLORIDE,bacterial conjunctivitis
VALPROIC ACID,complex partial epilepsy
DEXAMETHASONE SODIUM PHOSPHATE,mycosis fungoides
PREDNISONE,posterior uveitis
CORTISONE ACETATE,sympathetic ophthalmia
PREDNISOLONE,sympathetic ophthalmia
ANIDULAFUNGIN,Candidemia
TOLPROPAMINE,Pruritus
OLOPATADINE HYDROCHLORIDE,Pruritus
MUPIROCIN,Nasal congestion
FRAMYCETIN,Nasal congestion
DEXAMETHASONE,Thrombocytopenia
CYANOCOBALAMIN,Iron deficiency anemia
ZICONOTIDE,Fever
GLAFENINE,Fever
GUACETISAL,Fever
PENTOSAN POLYSULFATE SODIUM,Varicose veins
TOLPERISONE,Arthralgia
NIFENAZONE,Arthralgia
SIMVASTATIN,Abnormal circulating lipid concentration
ZUCAPSAICIN,Myalgia
GEFARNATE,Peptic ulcer
PREDNISOLONE,Peptic ulcer
THEOBROMINE,Airway obstruction
CODEINE,Cough
ENOXOLONE,Skin ulcer
LAMIVUDINE,inflammation
ADRENALONE,hemorrhage
THROMBIN,hemorrhage
DEXAMETHASONE SODIUM PHOSPHATE,atopic eczema
BUFLOMEDIL,cardiovascular disease
CANRENONE,cardiovascular disease
MEPINDOLOL,cardiovascular disease
TELMISARTAN,cardiovascular disease
DILAZEP,cardiovascular disease
IBUPROFEN,cardiovascular disease
ETOFYLLINE NICOTINATE,cardiovascular disease
LINSIDOMINE,cardiovascular disease
LISINOPRIL,cardiovascular disease
BUMETANIDE,cardiovascular disease
DOBUTAMINE,cardiovascular disease
IRBESARTAN,cardiovascular disease
DIHYDROERGOCRISTINE,cardiovascular disease
BARNIDIPINE,cardiovascular disease
CARVEDILOL,cardiovascular disease
SPIRONOLACTONE,cardiovascular disease
EPHEDRINE,cardiovascular disease
MELDONIUM,cardiovascular disease
UBIDECARENONE,cardiovascular disease
VINCAMINE,cardiovascular disease
ETAFENONE,cardiovascular disease
TRIAMTERENE,congestive heart failure
VOGLIBOSE,diabetes mellitus
REPAGLINIDE,diabetes mellitus
TOLONIDINE,hypertension
METHYLDOPA (RACEMIC),hypertension
SIROLIMUS,immune system disease
ANAKINRA,immune system disease
BENZOXONIUM CHLORIDE,infection
MICONAZOLE,infection
CLOPIDOGREL BISULFATE,ischemia
PREDNISONE,leukemia
ANASTROZOLE,neoplasm
VALRUBICIN,neoplasm
ETOPOSIDE,neoplasm
ACLARUBICIN,neoplasm
PEGASPARGASE,neoplasm
BEXAROTENE,neoplasm
MITOTANE,neoplasm
ESTRAMUSTINE,neoplasm
ABARELIX,neoplasm
AMLODIPINE BESYLATE,stroke
GANCICLOVIR,viral disease
UMIFENOVIR,viral disease
ENFUVIRTIDE,viral disease
CLINDAMYCIN PHOSPHATE,osteomyelitis
DEXAMETHASONE,pneumonia
LORAZEPAM,unipolar depression
PREDNISONE,psoriatic arthritis
DEXAMETHASONE,psoriatic arthritis
PIRITRAMIDE,pain
KETOBEMIDONE,pain
GLAFENINE,pain
CALCITONIN SALMON,postmenopausal osteoporosis
FERRIC CITRATE,chronic kidney disease
LIDOCAINE,cardiac arrhythmia
NAPROXEN SODIUM,gout
PREDNISONE,Stevens-Johnson syndrome
PREDNISONE,pemphigus vulgaris
DEXAMETHASONE,pemphigus vulgaris
PINAZEPAM,anxiety
BREXPIPRAZOLE,psychosis
SERTINDOLE,psychosis
CORTISONE ACETATE,hemolytic anemia
MOFEBUTAZONE,rheumatic disease
PIRPROFEN,rheumatic disease
PROGLUMETACIN,rheumatic disease
PARECOXIB,rheumatic disease
PREDNISONE,arthritis
BEPOTASTINE BESYLATE,allergic conjunctivitis
DEXAMETHASONE SODIUM PHOSPHATE,allergic conjunctivitis
PREDNISONE,berylliosis
PREDNISONE,eosinophilic pneumonia
AMOXICILLIN,sinusitis
PREDNISONE,trichinosis
DEXAMETHASONE SODIUM PHOSPHATE,dermatitis herpetiformis
PREDNISOLONE,erythema multiforme
PREDNISOLONE,seborrheic dermatitis
PREDNISOLONE,mycosis fungoides
TRAVOPROST,ocular hypertension
PREDNISOLONE,posterior uveitis
DEXAMETHASONE,subacute thyroiditis
BAMIPINE,Pruritus
CHLOROPYRAMINE,Pruritus
DIBUCAINE,Pruritus
TYMAZOLINE,Nasal congestion
PREDNISONE,Thrombocytopenia
ETOFENAMATE,Arthralgia
MECLOFENAMIC ACID,Arthralgia
NIFLUMIC ACID,Arthralgia
MECLOFENAMIC ACID,Myalgia
CYCLOBENZAPRINE HYDROCHLORIDE,Myalgia
CANGRELOR TETRASODIUM,Recurrent thrombophlebitis
ANAGRELIDE HYDROCHLORIDE,Recurrent thrombophlebitis
RESLIZUMAB,Airway obstruction
HYALURONATE SODIUM,Skin ulcer
DEXPANTHENOL,Skin ulcer
TETRAGALACTURONIC ACID HYDROXYMETHYLESTER,hemorrhage
AMOXICILLIN,gonorrhea
RANOLAZINE,cardiovascular disease
VISNADINE,cardiovascular disease
NIFEDIPINE,cardiovascular disease
CLOPAMIDE,cardiovascular disease
SIMFIBRATE,cardiovascular disease
THEODRENALINE,cardiovascular disease
CLORIDAROL,cardiovascular disease
BUCLADESINE,cardiovascular disease
AMEZINIUM METILSULFATE,cardiovascular disease
MIGLITOL,diabetes mellitus
BENFLUOREX,diabetes mellitus
ETHADIONE,epilepsy
BRIAKINUMAB,immune system disease
LENALIDOMIDE,immune system disease
NATALIZUMAB,immune system disease
OXYQUINOLINE,infection
TETRACYCLINE,infection
CORTISONE ACETATE,leukemia
PEMBROLIZUMAB,neoplasm
FOTEMUSTINE,neoplasm
ARSENIC TRIOXIDE,neoplasm
OMACETAXINE MEPESUCCINATE,neoplasm
HYDROXYUREA,neoplasm
METHOTREXATE,neoplasm
RAMUCIRUMAB,neoplasm
DOXORUBICIN,neoplasm
OFATUMUMAB,neoplasm
MERCAPTOPURINE,neoplasm
PLECONARIL,viral disease
EDOXUDINE,viral disease
TROMANTADINE,viral disease
DOCOSANOL,viral disease
INOSINE,viral disease
TRIAMTERENE,cirrhosis of liver
CLINDAMYCIN PHOSPHATE,abscess
TAZOBACTAM SODIUM,urinary tract infection
BEZITRAMIDE,pain
OPIUM,pain
NICOMORPHINE,pain
CARISOPRODOL,pain
NIPEROTIDINE,gastroesophageal reflux disease
TROXIPIDE,gastroesophageal reflux disease
PREDNISONE,nephrotic syndrome
CALCITONIN SALMON,osteitis deformans
LAMOTRIGINE,partial epilepsy
DRONEDARONE,cardiac arrhythmia
ETHACIZINE,cardiac arrhythmia
SIMVASTATIN,familial hypercholesterolemia
ADINAZOLAM,anxiety
MEBUTAMATE,anxiety
DIXYRAZINE,psychosis
CLOPENTHIXOL,psychosis
ORGOTEIN,rheumatic disease
CELECOXIB,rheumatic disease
FLUNOXAPROFEN,vaginal inflammation
PREDNISONE,allergic conjunctivitis
DEXAMETHASONE,ophthalmic herpes zoster
PREDNISONE,ophthalmic herpes zoster
PREDNISONE,erythema multiforme
DEXAMETHASONE,frozen shoulder
NAPROXEN SODIUM,frozen shoulder
ABCIXIMAB,intermediate coronary syndrome
CLOPIDOGREL BISULFATE,intermediate coronary syndrome
PREDNISONE,iritis
PREDNISONE,sympathetic ophthalmia
CARBIDOPA,postencephalitic Parkinson disease
PREDNISOLONE,tenosynovitis
FESOTERODINE,Urinary incontinence
ASCORBIC ACID,Iron deficiency anemia
PREDNISONE,Aplastic anemia
IMIDAZOLE SALICYLATE,Fever
POTASSIUM SALICYLATE,Fever
METOPIMAZINE,Nausea
IDROCILAMIDE,Arthralgia
DIMETHYL SULFOXIDE,Arthralgia
FENOFIBRATE,Abnormal circulating lipid concentration
MOFEBUTAZONE,Myalgia
FEPRAZONE,Myalgia
SUXIBUZONE,Myalgia
ALGINIC ACID,Peptic ulcer
SULGLICOTIDE,Peptic ulcer
SERATRODAST,Airway obstruction
DOXOFYLLINE,Airway obstruction
METAPROTERENOL POLISTIREX,Airway obstruction
NORMETHADONE,Cough
CALCIUM PANTOTHENATE,Skin ulcer
DEXAMETHASONE,inflammation
DIMETACRINE,unipolar depression
MILNACIPRAN,unipolar depression
TIANEPTINE,unipolar depression
NIALAMIDE,unipolar depression
TRIMIPRAMINE,unipolar depression
FLUOXETINE,unipolar depression
TRYPTOPHAN,unipolar depression
IPROCLOZIDE,unipolar depression
MAPROTILINE,unipolar depression
CITALOPRAM,unipolar depression
VILAZODONE,unipolar depression
PAROXETINE,unipolar depression
MINAPRINE,unipolar depression
IMIPRAMINOXIDE,unipolar depression
AMINEPTINE,unipolar depression
BIFEMELANE,unipolar depression
ALAPROCLATE,unipolar depression
QUINUPRAMINE,unipolar depression
OXAFLOZANE,unipolar depression
PIVAGABINE,unipolar depression
MEDIFOXAMINE,unipolar depression
LENALIDOMIDE,chronic lymphocytic leukemia
BENDAMUSTINE,chronic lymphocytic leukemia
PERIFOSINE,chronic lymphocytic leukemia
CHLORAMBUCIL,chronic lymphocytic leukemia
METFORMIN,chronic lymphocytic leukemia
IBRITUMOMAB TIUXETAN,neoplasm of mature B-cells
URELUMAB,neoplasm of mature B-cells
ETRAVIRINE,HIV-1 infection
EFAVIRENZ,HIV-1 infection
RIFAXIMIN,HIV-1 infection
SIROLIMUS,HIV-1 infection
PEMBROLIZUMAB,head and neck squamous cell carcinoma
DACOMITINIB ANHYDROUS,head and neck squamous cell carcinoma
CISPLATIN,head and neck squamous cell carcinoma
MK-2206,head and neck squamous cell carcinoma
MENATETRENONE,hepatocellular carcinoma
LENALIDOMIDE,hepatocellular carcinoma
PEGARGIMINASE,hepatocellular carcinoma
CEDIRANIB MALEATE,hepatocellular carcinoma
PEMBROLIZUMAB,hepatocellular carcinoma
BRIVANIB,hepatocellular carcinoma
ARTESUNATE,hepatocellular carcinoma
RAMUCIRUMAB,hepatocellular carcinoma
PIMASERTIB,hepatocellular carcinoma
DOXORUBICIN,hepatocellular carcinoma
TREMELIMUMAB,hepatocellular carcinoma
TIVANTINIB,hepatocellular carcinoma
LENALIDOMIDE,Hodgkins lymphoma
LENALIDOMIDE,MALT lymphoma
METFORMIN,metabolic syndrome
ANAKINRA,metabolic syndrome
MELATONIN,metabolic syndrome
LENALIDOMIDE,myelodysplastic syndrome
RIGOSERTIB,myelodysplastic syndrome
MOGAMULIZUMAB,unspecified peripheral T-cell lymphoma
FENRETINIDE,unspecified peripheral T-cell lymphoma
INOTUZUMAB OZOGAMICIN,acute lymphoblastic leukemia
MOXETUMOMAB PASUDOTOX,acute lymphoblastic leukemia
FILGRASTIM,acute lymphoblastic leukemia
ASPARAGINASE,acute lymphoblastic leukemia
PREDNISONE,acute lymphoblastic leukemia
MIDOSTAURIN,acute myeloid leukemia
LENALIDOMIDE,acute myeloid leukemia
BELINOSTAT,acute myeloid leukemia
QUIZARTINIB,acute myeloid leukemia
IBRUTINIB,acute myeloid leukemia
DOVITINIB,acute myeloid leukemia
CYCLOPHOSPHAMIDE,acute myeloid leukemia
BERGAPTEN,atopic eczema
MELATONIN,atopic eczema
METOPROLOL,atrial fibrillation
DRONEDARONE,atrial fibrillation
VERAPAMIL,atrial fibrillation
TOPSALYSIN,benign prostatic hyperplasia
LENALIDOMIDE,bladder tumor
DOXORUBICIN,breast carcinoma
CARBOPLATIN,breast carcinoma
CYCLOPHOSPHAMIDE,breast carcinoma
NERATINIB,breast carcinoma
INDOCYANINE GREEN,breast carcinoma
METFORMIN,breast carcinoma
IMATINIB MESYLATE,carcinoma
CISPLATIN,carcinoma
EPTIFIBATIDE,cardiovascular disease
BIVALIRUDIN,cardiovascular disease
TEMOZOLOMIDE,central nervous system cancer
IPILIMUMAB,chronic myelogenous leukemia
PEGINTERFERON ALFA-2A,chronic myelogenous leukemia
VILANTEROL,chronic obstructive pulmonary disease
ZABOFLOXACIN,chronic obstructive pulmonary disease
UMECLIDINIUM,chronic obstructive pulmonary disease
DANIRIXIN,chronic obstructive pulmonary disease
AZD1981,chronic obstructive pulmonary disease
BEDORADRINE SULFATE,chronic obstructive pulmonary disease
CYCLOSERINE,chronic obstructive pulmonary disease
SORAFENIB TOSYLATE,clear cell renal carcinoma
VANDETANIB,clear cell renal carcinoma
LEUCOVORIN CALCIUM,colorectal adenocarcinoma
REGRAMOSTIM,colorectal adenocarcinoma
OXALIPLATIN,colorectal adenocarcinoma
ENILURACIL,colorectal adenocarcinoma
ALLOPURINOL,congestive heart failure
METRONIDAZOLE,Crohn's disease
THALIDOMIDE,Crohn's disease
CYCLOPHOSPHAMIDE,Crohn's disease
LAQUINIMOD,Crohn's disease
VERCIRNON SODIUM,Crohn's disease
TAMIBAROTENE,Crohn's disease
RESIQUIMOD,cutaneous melanoma
ABATACEPT,dermatomyositis
INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,diabetes mellitus
CHOLECALCIFEROL,diabetes mellitus
ASCORBIC ACID,diabetes mellitus
SODIUM CHLORIDE,diabetes mellitus
CALCIUM CARBONATE,diabetic nephropathy
CYCLOPHOSPHAMIDE,diffuse large B-cell lymphoma
IBRITUMOMAB TIUXETAN,diffuse large B-cell lymphoma
MELATONIN,epilepsy
LICARBAZEPINE,epilepsy
PEMBROLIZUMAB,gastric adenocarcinoma
PACLITAXEL,glioblastoma multiforme
TEMOZOLOMIDE,glioblastoma multiforme
BISOPROLOL,hypertension
FIMASARTAN,hypertension
CANDESARTAN,hypertension
METOPROLOL,hypertension
DARUSENTAN,hypertension
TIGECYCLINE,infection
RAZUPENEM,infection
VORICONAZOLE,infection
DAPTOMYCIN,infection
LINEZOLID,infection
FLUCONAZOLE,infection
MUPIROCIN,infection
VANCOMYCIN,infection
CIPROFLOXACIN,infection
MEROPENEM,infection
EVEROLIMUS,infection
EFAVIRENZ,infection
OCTREOTIDE,infection
TAMOXIFEN CITRATE,infertility
SODIUM CHLORIDE,injury
HEPARIN SODIUM,injury
ONABOTULINUMTOXINA,injury
MANNITOL,injury
OXYGEN,injury
SODIUM LACTATE,injury
MECRYLATE,injury
PHENYTOIN,injury
RIFAXIMIN,irritable bowel syndrome
MOXETUMOMAB PASUDOTOX,leukemia
OMACETAXINE MEPESUCCINATE,leukemia
INDISULAM,leukemia
LENALIDOMIDE,leukemia
TEMOZOLOMIDE,leukemia
ALVOCIDIB,lymphoma
MOXETUMOMAB PASUDOTOX,lymphoma
LENALIDOMIDE,lymphoma
ALISERTIB,lymphoma
PERIFOSINE,lymphoma
SORAFENIB TOSYLATE,mesothelioma
PEMBROLIZUMAB,mesothelioma
TREMELIMUMAB,mesothelioma
ERLOTINIB HYDROCHLORIDE,mesothelioma
GEFITINIB,mesothelioma
CEDIRANIB MALEATE,mesothelioma
BELINOSTAT,mesothelioma
ATORVASTATIN CALCIUM,myocardial infarction
DEXTROSE,myocardial infarction
SIMVASTATIN,myocardial infarction
ENOXAPARIN SODIUM,neoplasm
GIMATECAN,neoplasm
PIMASERTIB,neoplasm
NERATINIB,neoplasm
PATUPILONE,neoplasm
DACTOLISIB,neoplasm
TAREXTUMAB,neoplasm
CISPLATIN,neoplasm
BUPARLISIB,neoplasm
BI-2536,neoplasm
ALDESLEUKIN,neoplasm
GILTERITINIB,neoplasm
BRIVANIB,neoplasm
DOXORUBICIN,osteosarcoma
GLEMBATUMUMAB VEDOTIN,osteosarcoma
CHLORHEXIDINE GLUCONATE,periodontitis
METFORMIN,polycystic ovary syndrome
ENCLOMIPHENE CITRATE,polycystic ovary syndrome
SOYBEAN OIL,polyp
FINASTERIDE,prostate adenocarcinoma
SODIUM SELENITE,prostate adenocarcinoma
ALISERTIB,prostate adenocarcinoma
SORAFENIB TOSYLATE,prostate adenocarcinoma
CIXUTUMUMAB,prostate adenocarcinoma
ICOSAPENT,prostate adenocarcinoma
PEFCALCITOL,psoriasis
BRIAKINUMAB,psoriasis
CERTOLIZUMAB PEGOL,psoriasis
IXEKIZUMAB,psoriasis
ABATACEPT,psoriasis
BMS-582949,psoriasis
INTERFERON,renal cell carcinoma
CYCLOPHOSPHAMIDE,renal cell carcinoma
TIVOZANIB HYDROCHLORIDE,renal cell carcinoma
LINIFANIB,renal cell carcinoma
FILGOTINIB,rheumatoid arthritis
SARILUMAB,rheumatoid arthritis
PEFICITINIB,rheumatoid arthritis
PH-797804,rheumatoid arthritis
VELTUZUMAB,rheumatoid arthritis
PLACULUMAB,rheumatoid arthritis
BARICITINIB,rheumatoid arthritis
ZANOLIMUMAB,rheumatoid arthritis
OLOKIZUMAB,rheumatoid arthritis
MIZORIBINE,rheumatoid arthritis
VATALANIB,sarcoma
DOXORUBICIN,sarcoma
FLUDARABINE PHOSPHATE,sarcoma
LINEZOLID,skin disease
TIVANTINIB,small cell lung carcinoma
DACOMITINIB,squamous cell carcinoma
NIMOTUZUMAB,squamous cell carcinoma
CISPLATIN,squamous cell carcinoma
GLEMBATUMUMAB VEDOTIN,squamous cell lung carcinoma
PICLOZOTAN,stroke
FLUOXETINE,stroke
MANNITOL,stroke
MIDODRINE HYDROCHLORIDE,stroke
EDARAVONE,stroke
CITALOPRAM,stroke
GSK-249320,stroke
LOVASTATIN,stroke
RELAXIN,systemic scleroderma
THALIDOMIDE,systemic scleroderma
ABRILUMAB,ulcerative colitis
VERCIRNON,ulcerative colitis
ETROLIZUMAB,ulcerative colitis
MELATONIN,ulcerative colitis
GOSERELIN,uterine fibroid
IXABEPILONE,melanoma
ALDESLEUKIN,melanoma
TEMOZOLOMIDE,melanoma
CYCLOPHOSPHAMIDE,melanoma
RIFAMPIN,melanoma
DACARBAZINE,melanoma
CISPLATIN,melanoma
ACETYLCYSTEINE,melanoma
SARGRAMOSTIM,melanoma
VOLOCIXIMAB,melanoma
RESIQUIMOD,melanoma
OSELTAMIVIR PHOSPHATE,viral disease
NIACIN,HIV infection
DAPIVIRINE,HIV infection
RITONAVIR,HIV infection
EFAVIRENZ,HIV infection
VICRIVIROC MALEATE,HIV infection
BUPRENORPHINE,HIV infection
ETRAVIRINE,HIV infection
TENOFOVIR DISOPROXIL FUMARATE,HIV infection
MEDROXYPROGESTERONE ACETATE,HIV infection
TIPRANAVIR,HIV infection
LOPINAVIR,HIV infection
BEVIRIMAT DIMEGLUMINE,HIV infection
DEXELVUCITABINE,HIV infection
ENFUVIRTIDE,HIV infection
TENOFOVIR DISOPROXIL FUMARATE,AIDS
DAPIVIRINE,AIDS
FRESOLIMUMAB,idiopathic pulmonary fibrosis
CISPLATIN,cervical carcinoma
BRINCIDOFOVIR,cytomegalovirus infection
ANASTROZOLE,endometriosis
DIENOGEST,endometriosis
TAFENOQUINE,malaria
ARTESUNATE,malaria
RIMONABANT,obesity
NESIRITIDE,obesity
SODIUM CHLORIDE,obesity
LIDOCAINE,obesity
TARANABANT,obesity
METFORMIN,obesity
METRELEPTIN,obesity
VELNEPERIT,obesity
GANAXOLONE,post-traumatic stress disorder
SITAXENTAN,pulmonary arterial hypertension
UBENIMEX,pulmonary arterial hypertension
ANECORTAVE ACETATE,age-related macular degeneration
BI-505,multiple myeloma
LENALIDOMIDE,multiple myeloma
ENMD-2076,multiple myeloma
CYCLOPHOSPHAMIDE,multiple myeloma
SOTATERCEPT,multiple myeloma
IBRITUMOMAB TIUXETAN,multiple myeloma
SELUMETINIB,multiple myeloma
TALMAPIMOD,multiple myeloma
BENDAMUSTINE,multiple myeloma
CISPLATIN,cervical adenocarcinoma
RIFAXIMIN,cirrhosis of liver
RIVAROXABAN,cirrhosis of liver
CALCIUM CARBONATE,cirrhosis of liver
HYDROCORTISONE,cirrhosis of liver
CONIVAPTAN,cirrhosis of liver
ALBUMIN HUMAN,cirrhosis of liver
GOSERELIN,prostate carcinoma
SELENIUM SULFIDE,prostate carcinoma
ASPIRIN,prostate carcinoma
PREDNISONE,primary myelofibrosis
CABERGOLINE,cocaine dependence
BINIMETINIB,metastatic melanoma
MORAB-028,metastatic melanoma
APATORSEN,pancreatic carcinoma
TRALOKINUMAB,pancreatic carcinoma
BAVITUXIMAB,pancreatic carcinoma
ZANOLIMUMAB,Cutaneous T-cell lymphoma
NIMOTUZUMAB,esophageal carcinoma
ONABOTULINUMTOXINA,muscular disease
BECLABUVIR,hepatitis C virus infection
FILIBUVIR,hepatitis C virus infection
SOFOSBUVIR,hepatitis C virus infection
VANIPREVIR,hepatitis C virus infection
ALISPORIVIR,hepatitis C virus infection
URELUMAB,non-small cell lung carcinoma
CISPLATIN,non-small cell lung carcinoma
DACOMITINIB ANHYDROUS,non-small cell lung carcinoma
CYCLOPHOSPHAMIDE,non-small cell lung carcinoma
ASPIRIN,non-small cell lung carcinoma
BRIGATINIB,non-small cell lung carcinoma
CEDIRANIB MALEATE,non-small cell lung carcinoma
REGRAMOSTIM,non-small cell lung carcinoma
SEPANTRONIUM BROMIDE,non-small cell lung carcinoma
TECEMOTIDE,non-small cell lung carcinoma
VEMURAFENIB,non-small cell lung carcinoma
ISAVUCONAZOLE,kidney disease
ACETYLCYSTEINE,kidney disease
SODIUM CHLORIDE,kidney disease
VEPOLOXAMER,kidney disease
SODIUM BICARBONATE,kidney disease
EZETIMIBE,non-alcoholic fatty liver disease
INSULIN HUMAN,non-alcoholic fatty liver disease
METYRAPONE,Cushing syndrome
NEMONOXACIN,pneumonia
ASPIRIN,pneumonia
LINEZOLID,pneumonia
CEFTOBIPROLE,pneumonia
SODIUM NITRITE,heart failure
LEVOCARNITINE,heart failure
FERROUS SULFATE,heart failure
LEVOSIMENDAN,heart failure
ACETAZOLAMIDE,heart failure
DOBUTAMINE,heart failure
METOLAZONE,heart failure
MILRINONE,heart failure
ALAGEBRIUM CHLORIDE,heart failure
NITROGLYCERIN,heart failure
MEMANTINE,autism spectrum disorder
RUBOXISTAURIN,diabetic retinopathy
"FIBRINOGEN, HUMAN",heart disease
HOKT3,psoriatic arthritis
PERAKIZUMAB,psoriatic arthritis
UROKINASE,pulmonary embolism
HEPARIN SODIUM,pulmonary embolism
ONABOTULINUMTOXINA,prostatitis
BUSULFAN,brain neoplasm
TEMOZOLOMIDE,brain neoplasm
RITUXIMAB,chronic progressive multiple sclerosis
ROPIVACAINE,pain
DEXMEDETOMIDINE,pain
DEXTROSE,pain
LEVOBUPIVACAINE,pain
PARECOXIB,pain
LOXOPROFEN,pain
SODIUM CHLORIDE,pain
DIAZEPAM,pain
SUFENTANIL,pain
SODIUM LAURYL SULFATE,pain
SODIUM OXYBATE,pain
OXYGEN,pain
ROMOSOZUMAB,postmenopausal osteoporosis
PHYTONADIONE,postmenopausal osteoporosis
PARATHYROID HORMONE,postmenopausal osteoporosis
RONACALERET,osteoporosis
RISEDRONIC ACID,osteoporosis
CALCITRIOL,osteoporosis
CHOLECALCIFEROL,osteoporosis
SEVELAMER CARBONATE,chronic kidney disease
SULODEXIDE,chronic kidney disease
NIACINAMIDE,chronic kidney disease
CINACALCET,chronic kidney disease
CYCLOSPORINE,chronic kidney disease
ILOPROST,chronic kidney disease
IRON SUCROSE,chronic kidney disease
TIPEPIDINE,attention deficit hyperactivity disorder
MELATONIN,attention deficit hyperactivity disorder
